Title,Link_film,Rating,Image,Genre,Summary,Budget,Gross_us,Opening_week_rev,Opening_week_date,Gross_world,Runtime,Color,Sound_mix,Aspect_ratio,,
Kingdom of the Planet of the Apes,https://www.imdb.com/title/tt11389872/?ref_=watch_tpks_tt_t_1_pd_tp1_pbr_ic,7.2,Kingdom of the Planet of the Apes.jpg,"Action, Adventure, Sci-Fi","Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",160000000,144372773,58400788,2024-05-12 00:00:00,342247952,145,Color,"Dolby Digital, 12-Track Digital Sound, Dolby Atmos, IMAX 6-Track, Dolby Surround 7.1",2.39 : 1,,
Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=watch_tpks_tt_t_2_pd_tp1_pbr_ic,6.2,Ghostbusters Frozen Empire.jpg,"Adventure, Comedy, Fantasy","When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",100000000,113020051,45004673,2024-03-24 00:00:00,201199570,115,Color,"IMAX 6-Track, Dolby Atmos",2.39 : 1,,
Abigail,https://www.imdb.com/title/tt27489557/?ref_=watch_tpks_tt_t_3_pd_tp1_pbr_ic,6.6,Abigail.jpg,"Horror, Thriller","After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",28000000,25867515,10297110,2024-04-21 00:00:00,41566239,109,Color,-,2.39 : 1,,
Godzilla Minus One,https://www.imdb.com/title/tt23289160/?ref_=watch_tpks_tt_t_4_pd_tp1_pbr_ic,7.8,Godzilla Minus One.jpg,"Action, Adventure, Drama","Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",15000000,56418793,11419975,2023-12-03 00:00:00,115857413,124,Color,"Dolby Atmos, IMAX 6-Track",2.39 : 1,,
Godzilla vs. Kong,https://www.imdb.com/title/tt5034838/?ref_=watch_tpks_tt_t_5_pd_tp1_pbr_ic,6.3,Godzilla vs Kong.jpg,"Action, Sci-Fi, Thriller",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,200000000,100916094,31625971,2021-04-04 00:00:00,470116094,113,Color,"Dolby Atmos, IMAX 6-Track, Auro 11.1, Dolby Digital, Dolby Surround 7.1",2.39 : 1,,
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=watch_tpks_tt_t_6_pd_tp1_pbr_ic,8.6,Dune Part Two.jpg,"Action, Adventure, Drama",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,190000000,282144358,82505391,2024-03-03 00:00:00,711844358,166,Color,"Dolby Surround 7.1, Dolby Atmos, 12-Track Digital Sound, IMAX 6-Track, Dolby Digital, Auro 11.1, Sonics-DDP",-,,
The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/?ref_=watch_tpks_tt_t_7_pd_tp1_pbr_ic,6.9,The Ministry of Ungentlemanly Warfare.jpg,"Action, Drama, War",The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,60000000,20535053,8913698,2024-04-21 00:00:00,25885290,120,Color,Dolby Digital,2.39 : 1,,
Godzilla: King of the Monsters,https://www.imdb.com/title/tt3741700/?ref_=watch_tpks_tt_t_8_pd_tp1_pbr_ic,6.0,Godzilla King of the Monsters.jpg,"Action, Adventure, Fantasy","The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",170000000,110500138,47776293,2019-06-02 00:00:00,387300138,132,Color,"Dolby Atmos, Auro 11.1, Dolby Digital, Dolby Surround 7.1, 12-Track Digital Sound, IMAX 6-Track, Sonics-DDP",2.39 : 1,,
Road House,https://www.imdb.com/title/tt3359350/?ref_=watch_tpks_tt_t_9_pd_tp1_pbr_ic,6.2,Road House.jpg,"Action, Thriller","Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",85000000,148753631.9,47359673,1900-01-01 00:00:00,425309654,120,Color,Dolby Digital,2.39 : 1,,
Civil War,https://www.imdb.com/title/tt17279496/?ref_=watch_tpks_tt_t_10_pd_tp1_pbr_ic,7.2,Civil War.jpg,"Action, Adventure, Thriller","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",50000000,68367168,25537368,2024-04-14 00:00:00,114151795,109,Color,"Dolby Digital, IMAX 6-Track, Dolby Atmos",1.85 : 1,,
